,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,-0.059091,-0.32827,3.6563,-0.058193,-0.053527,3.6807,-0.057957,0.21596,3.6928,-0.078958,0.31293,3.7537,-0.12742,0.113,3.7714,-0.20369,-0.15872,3.7123,-0.23608,0.0019439,3.5578,-0.24709,0.055356,3.51,0.019059,0.11683,3.5724,0.061387,-0.083034,3.4768,-0.13847,-0.070534,3.5516,-0.18298,-0.1031,3.638,-0.093739,-0.34069,3.6364,0.061736,-0.76685,3.5389,0.045073,-1.0973,3.6464,0.053629,-1.1269,3.5642,-0.024522,-0.31243,3.6023,0.025274,-0.71339,3.5464,0.11498,-1.0506,3.5143,0.08081,-1.1073,3.5273,-0.058011,0.14941,3.692,-0.23849,0.043269,3.4675,-0.24553,0.055005,3.4878,-0.24045,-0.11518,3.6616,-0.21477,-0.094729,3.6442
1,-0.059143,-0.32827,3.6561,-0.058125,-0.053034,3.6802,-0.057297,0.21792,3.6915,-0.071317,0.30992,3.7496,-0.12676,0.11496,3.77,-0.19732,-0.083288,3.6459,-0.25986,-0.23342,3.7781,-0.25085,-0.30672,3.8252,0.019234,0.11678,3.572,0.06137,-0.083189,3.4766,-0.13845,-0.070274,3.5514,-0.17828,-0.099786,3.6309,-0.094154,-0.33942,3.6362,0.06173,-0.76723,3.5386,0.045135,-1.0976,3.6458,0.054068,-1.1264,3.5631,-0.024333,-0.31301,3.6025,0.025203,-0.71342,3.5462,0.115,-1.0508,3.5143,0.080917,-1.1079,3.5268,-0.057563,0.15084,3.6909,-0.2423,-0.31789,3.7827,-0.25566,-0.334,3.7982,-0.23846,-0.12003,3.6566,-0.2283,-0.10751,3.6273
2,-0.059279,-0.32828,3.6562,-0.057963,-0.052824,3.6799,-0.055957,0.21886,3.6901,-0.073207,0.31238,3.7527,-0.12542,0.1159,3.7687,-0.19762,-0.08283,3.6459,-0.25536,-0.22652,3.7864,-0.2485,-0.30081,3.8323,0.018945,0.11675,3.5721,0.061687,-0.082986,3.4765,-0.13807,-0.06973,3.5514,-0.18215,-0.09942,3.6366,-0.094628,-0.33843,3.6376,0.065467,-0.80669,3.5324,0.045038,-1.0976,3.6465,0.053909,-1.1268,3.5639,-0.024434,-0.31328,3.6024,0.025177,-0.71314,3.5461,0.11405,-1.0495,3.5137,0.081539,-1.1072,3.5264,-0.056614,0.15154,3.6899,-0.24015,-0.31244,3.7902,-0.25344,-0.32842,3.805,-0.23807,-0.11235,3.6506,-0.22779,-0.11618,3.6296
3,-0.060091,-0.32849,3.6574,-0.05804,-0.051546,3.6798,-0.054823,0.22475,3.6875,-0.073448,0.31284,3.7508,-0.12429,0.12178,3.766,-0.19922,-0.077118,3.6453,-0.2486,-0.23091,3.7788,-0.24161,-0.30526,3.8245,0.019133,0.11595,3.5719,0.061642,-0.083851,3.4763,-0.13797,-0.069854,3.5514,-0.17626,-0.099386,3.6399,-0.096113,-0.33737,3.6413,0.060719,-0.77127,3.5399,0.045324,-1.098,3.6459,0.053728,-1.1277,3.5637,-0.024809,-0.31398,3.6031,0.024739,-0.71241,3.546,0.11335,-1.0495,3.5161,0.081354,-1.1085,3.5272,-0.055882,0.15596,3.6881,-0.23309,-0.31643,3.782,-0.24736,-0.33259,3.7977,-0.23018,-0.10506,3.6573,-0.19486,-0.092661,3.6121
4,-0.060366,-0.32946,3.6573,-0.058152,-0.051474,3.6798,-0.055372,0.22573,3.6888,-0.07538,0.31189,3.752,-0.12484,0.12276,3.7674,-0.19925,-0.15971,3.7143,-0.19956,-0.34272,3.8196,-0.19987,-0.40387,3.8585,0.019123,0.1159,3.5719,0.061685,-0.083954,3.4764,-0.13786,-0.069546,3.5517,-0.18145,-0.10019,3.6352,-0.096291,-0.33798,3.6416,0.064524,-0.80515,3.5306,0.045537,-1.0969,3.6458,0.053001,-1.1287,3.5652,-0.024894,-0.3153,3.6027,0.025135,-0.71309,3.546,0.11346,-1.0493,3.5158,0.081511,-1.1081,3.5272,-0.056255,0.15665,3.6889,-0.19145,-0.41481,3.8161,-0.20499,-0.43061,3.8316,-0.24066,-0.10527,3.6646,-0.20183,-0.090412,3.6202
5,-0.060451,-0.33013,3.6566,-0.058121,-0.051539,3.6798,-0.055222,0.22555,3.6891,-0.075551,0.31315,3.7523,-0.12469,0.12258,3.7677,-0.19331,-0.16537,3.7419,-0.27334,-0.0091785,3.6018,-0.30023,0.042734,3.5589,0.019391,0.11634,3.5721,0.061315,-0.084153,3.4779,-0.13923,-0.073135,3.5513,-0.17671,-0.097251,3.6377,-0.095948,-0.33932,3.6374,0.065251,-0.80704,3.531,0.046255,-1.097,3.6443,0.063628,-1.1174,3.5519,-0.025016,-0.31603,3.6036,0.024819,-0.71178,3.546,0.11263,-1.0496,3.5182,0.08541,-1.108,3.5213,-0.056154,0.15656,3.6891,-0.29149,0.030684,3.5164,-0.29835,0.042467,3.5367,-0.23376,-0.10516,3.6613,-0.20274,-0.092036,3.6225
6,-0.060864,-0.32922,3.6538,-0.057878,-0.050007,3.6792,-0.05421,0.22815,3.691,-0.075344,0.31402,3.752,-0.12368,0.12518,3.7696,-0.1918,-0.16285,3.7421,-0.24765,-0.0091131,3.5873,-0.26647,0.041985,3.5394,0.018868,0.11679,3.5721,0.060899,-0.083763,3.4781,-0.14017,-0.074106,3.5504,-0.18029,-0.097145,3.634,-0.095123,-0.3386,3.6344,0.07022,-0.80236,3.5308,0.046262,-1.0971,3.6442,0.061068,-1.1189,3.5559,-0.026227,-0.31473,3.6018,0.024636,-0.71168,3.5459,0.11325,-1.0502,3.5173,0.084305,-1.1094,3.5231,-0.055362,0.15886,3.6901,-0.25782,0.029936,3.4969,-0.2648,0.041721,3.5172,-0.24379,-0.10595,3.6717,-0.18771,-0.080413,3.6168
7,-0.061194,-0.32978,3.6533,-0.058041,-0.050435,3.6786,-0.054301,0.22723,3.6904,-0.076075,0.3116,3.7519,-0.12377,0.12426,3.769,-0.1907,-0.16346,3.7307,-0.24373,0.0065401,3.594,-0.26161,0.063058,3.5522,0.01899,0.1149,3.5713,0.061308,-0.086156,3.4787,-0.13994,-0.07531,3.5505,-0.18154,-0.094303,3.6418,-0.09527,-0.33909,3.6339,0.06318,-0.77673,3.5361,0.046195,-1.0971,3.6441,0.059159,-1.1204,3.5586,-0.026542,-0.31509,3.6018,0.02439,-0.7115,3.5457,0.11316,-1.0499,3.5168,0.08355,-1.1108,3.5255,-0.055439,0.15818,3.6896,-0.25298,0.050954,3.5097,-0.25997,0.062664,3.5299,-0.24142,-0.095542,3.6763,-0.17178,-0.073192,3.6191
8,-0.061524,-0.33077,3.6531,-0.058507,-0.050518,3.6787,-0.055698,0.2276,3.6911,-0.077523,0.31193,3.7521,-0.12516,0.12463,3.7697,-0.20463,-0.15556,3.6996,-0.2369,0.029845,3.5784,-0.24787,0.091504,3.5417,0.019545,0.11397,3.5711,0.061452,-0.087044,3.4782,-0.13954,-0.0748,3.5504,-0.18327,-0.09351,3.6386,-0.095602,-0.34002,3.6335,0.062718,-0.77634,3.5363,0.047524,-1.0741,3.6465,0.058182,-1.1202,3.5607,-0.026757,-0.31591,3.602,0.023867,-0.71056,3.5458,0.11181,-1.0525,3.5203,0.08347,-1.1108,3.5258,-0.056501,0.15842,3.6901,-0.23927,0.079322,3.4992,-0.24631,0.090929,3.5195,-0.24089,-0.10536,3.6683,-0.19073,-0.071083,3.6246
9,-0.062714,-0.32728,3.6546,-0.058959,-0.050317,3.6794,-0.056283,0.22426,3.6932,-0.07796,0.31227,3.7525,-0.12575,0.12129,3.7717,-0.19526,-0.16534,3.7284,-0.24873,-0.0087941,3.5756,-0.26676,0.043237,3.5285,0.019893,0.11404,3.5705,0.061785,-0.087171,3.4782,-0.13921,-0.074748,3.5503,-0.17653,-0.089101,3.6287,-0.09759,-0.33144,3.6408,0.065932,-0.79842,3.5339,0.038443,-1.0572,3.6497,0.05236,-1.1218,3.5741,-0.027414,-0.31463,3.6015,0.023823,-0.71064,3.5458,0.1113,-1.0524,3.5211,0.08366,-1.1107,3.5254,-0.057016,0.15658,3.6916,-0.25811,0.031184,3.486,-0.26508,0.042964,3.5062,-0.23057,-0.089887,3.6503,-0.19092,-0.069114,3.6077
10,-0.066153,-0.30787,3.6605,-0.06051,-0.041075,3.6815,-0.05639,0.22619,3.6931,-0.078065,0.31276,3.7522,-0.12585,0.12322,3.7716,-0.1916,-0.16464,3.7317,-0.25022,-0.012403,3.5764,-0.26995,0.038192,3.5284,0.019884,0.11405,3.5705,0.061824,-0.087134,3.4781,-0.13912,-0.074307,3.5503,-0.18358,-0.085028,3.6309,-0.099735,-0.31161,3.6506,0.05933,-0.77923,3.5366,0.047197,-1.0825,3.645,0.052584,-1.1232,3.5732,-0.031292,-0.29833,3.6027,0.023742,-0.7107,3.5458,0.11113,-1.0521,3.5211,0.083939,-1.1105,3.525,-0.057327,0.15962,3.6919,-0.2613,0.026153,3.4859,-0.26737,0.039505,3.5063,-0.23795,-0.079855,3.6486,-0.19262,-0.064072,3.6025
11,-0.065996,-0.31621,3.6564,-0.061214,-0.041837,3.6808,-0.05776,0.22707,3.6926,-0.077324,0.31341,3.7498,-0.12722,0.1241,3.7712,-0.18939,-0.16457,3.7314,-0.24904,-0.011818,3.5771,-0.26912,0.03895,3.5294,0.019711,0.11386,3.5696,0.061925,-0.087149,3.4769,-0.13913,-0.074012,3.5489,-0.1817,-0.080884,3.6217,-0.10068,-0.32342,3.6365,0.061338,-0.79111,3.5301,0.047534,-1.0842,3.6402,0.051322,-1.1261,3.5698,-0.030418,-0.30574,3.6039,0.023096,-0.70993,3.5448,0.11127,-1.0514,3.5201,0.0838,-1.1099,3.5246,-0.058385,0.16005,3.6915,-0.26046,0.026909,3.4869,-0.26635,0.040867,3.507,-0.24318,-0.074947,3.6523,-0.17918,-0.057824,3.6035
12,-0.065952,-0.32017,3.6563,-0.059742,-0.044008,3.6792,-0.053101,0.22615,3.6885,-0.076487,0.31206,3.7486,-0.12257,0.12318,3.767,-0.175,-0.16731,3.7256,-0.2503,1.6283e-05,3.5969,-0.27558,0.055638,3.5578,0.019755,0.11389,3.5697,0.061749,-0.087536,3.4779,-0.13863,-0.075124,3.5516,-0.18607,-0.076449,3.6306,-0.10082,-0.32492,3.6359,0.06114,-0.78864,3.535,0.047812,-1.0861,3.6397,0.051439,-1.1276,3.5689,-0.029908,-0.31189,3.606,0.022703,-0.70978,3.5451,0.1118,-1.0532,3.5206,0.083831,-1.1099,3.5245,-0.054977,0.15891,3.6884,-0.26691,0.043553,3.5153,-0.27386,0.05529,3.5356,-0.2488,-0.070144,3.6616,-0.19419,-0.052055,3.6224
13,-0.065604,-0.32276,3.6566,-0.060909,-0.048006,3.6806,-0.056951,0.22049,3.6924,-0.076747,0.31164,3.7498,-0.12641,0.11753,3.771,-0.18449,-0.17222,3.7345,-0.23544,0.0044895,3.6064,-0.25262,0.063235,3.5674,0.01967,0.11369,3.5698,0.061846,-0.087742,3.4782,-0.13815,-0.06197,3.5498,-0.1878,-0.071701,3.6274,-0.10064,-0.32753,3.6365,0.061489,-0.78259,3.536,0.047383,-1.0909,3.6403,0.055226,-1.124,3.5609,-0.029475,-0.31352,3.6064,0.022694,-0.71048,3.5455,0.11206,-1.0528,3.5201,0.082492,-1.1109,3.5265,-0.057894,0.15393,3.6915,-0.24401,0.05113,3.5249,-0.25104,0.06284,3.5452,-0.25175,-0.060239,3.6681,-0.20891,-0.075097,3.5986
14,-0.066636,-0.31793,3.6581,-0.061909,-0.04361,3.6832,-0.057731,0.22555,3.6968,-0.07681,0.31103,3.7497,-0.12719,0.12259,3.7753,-0.18867,-0.1668,3.7445,-0.23102,0.0023287,3.6027,-0.24533,0.058553,3.5592,0.019201,0.11455,3.5704,0.061747,-0.086986,3.4793,-0.13906,-0.064004,3.5497,-0.20162,-0.064588,3.6238,-0.10287,-0.31462,3.6366,0.059175,-0.78319,3.5353,0.047495,-1.0904,3.6406,0.05486,-1.1238,3.5614,-0.029961,-0.31192,3.6092,0.022645,-0.71048,3.5456,0.11262,-1.0522,3.5188,0.082491,-1.1109,3.5265,-0.058767,0.15887,3.6955,-0.23674,0.046461,3.5167,-0.2438,0.058187,3.5369,-0.25287,-0.059905,3.6481,-0.22033,-0.076934,3.6045
15,-0.068039,-0.31168,3.6605,-0.062184,-0.042457,3.6838,-0.057686,0.22547,3.6967,-0.076713,0.31096,3.7511,-0.12715,0.1225,3.7753,-0.20839,-0.16226,3.7569,-0.2152,-0.0050074,3.5952,-0.21768,0.047265,3.5451,0.018913,0.11462,3.5708,0.061495,-0.08763,3.4816,-0.13891,-0.065024,3.5531,-0.20564,-0.06072,3.6232,-0.10246,-0.31069,3.6464,0.056675,-0.77922,3.5376,0.047042,-1.0916,3.6441,0.052619,-1.1275,3.5671,-0.033633,-0.3014,3.606,0.022481,-0.71147,3.5463,0.11253,-1.054,3.5211,0.083403,-1.1101,3.5256,-0.058762,0.15887,3.6955,-0.20917,0.035202,3.5026,-0.21632,0.046968,3.5228,-0.26042,-0.049943,3.6491,-0.21939,-0.074823,3.6029
16,-0.068366,-0.30957,3.6606,-0.062805,-0.042834,3.6841,-0.060462,0.21753,3.6982,-0.076672,0.31073,3.7506,-0.12992,0.11457,3.7768,-0.21338,-0.16494,3.7476,-0.21251,-0.0037009,3.59,-0.21244,0.049897,3.5412,0.01904,0.11461,3.5706,0.06162,-0.087776,3.4818,-0.12823,-0.084582,3.5772,-0.19794,-0.06374,3.6153,-0.10254,-0.30931,3.6497,0.05483,-0.77828,3.5398,0.047025,-1.0911,3.6436,0.052661,-1.1275,3.5671,-0.034137,-0.29825,3.6022,0.021915,-0.71098,3.5465,0.11337,-1.0552,3.5203,0.082056,-1.1126,3.531,-0.06087,0.1539,3.6967,-0.20394,0.037827,3.4987,-0.21111,0.049584,3.5189,-0.25077,-0.047411,3.631,-0.23256,-0.070296,3.5995
17,-0.068396,-0.30116,3.6617,-0.06385,-0.040033,3.685,-0.061122,0.21805,3.6985,-0.076663,0.3105,3.7505,-0.13058,0.1151,3.7771,-0.21358,-0.15539,3.7497,-0.2108,-0.0080295,3.5783,-0.21008,0.040952,3.525,0.019292,0.11459,3.5707,0.061848,-0.087963,3.4823,-0.12816,-0.084992,3.5775,-0.20492,-0.059595,3.6086,-0.10209,-0.30369,3.6527,0.05376,-0.77278,3.54,0.046817,-1.0915,3.6443,0.052504,-1.1274,3.5674,-0.034203,-0.29078,3.6013,0.021772,-0.71045,3.5466,0.11367,-1.0532,3.5195,0.082191,-1.1123,3.5308,-0.061614,0.15463,3.6971,-0.20159,0.028906,3.4825,-0.20876,0.040694,3.5027,-0.26692,-0.042296,3.6358,-0.23181,-0.067554,3.5911
18,-0.065048,-0.31717,3.6531,-0.061145,-0.049645,3.6764,-0.057544,0.21166,3.6874,-0.075949,0.309,3.7469,-0.12701,0.10872,3.766,-0.2153,-0.14858,3.7612,-0.21739,-0.10233,3.6788,-0.22722,-0.054802,3.601,0.019597,0.11424,3.5697,0.062037,-0.088578,3.482,-0.12885,-0.085391,3.5757,-0.20497,-0.058356,3.593,-0.10038,-0.32395,3.6372,0.057797,-0.79406,3.5386,0.046563,-1.0923,3.6445,0.054064,-1.1245,3.5644,-0.028882,-0.3057,3.5978,0.021641,-0.71006,3.5461,0.11326,-1.0542,3.52,0.08199,-1.1126,3.531,-0.058392,0.14723,3.6869,-0.2173,-0.04248,3.5819,-0.25945,-0.032051,3.601,-0.27071,-0.039643,3.6201,-0.22886,-0.073524,3.5833
19,-0.065131,-0.31963,3.652,-0.061234,-0.049486,3.6765,-0.058242,0.21818,3.6909,-0.075726,0.30888,3.7475,-0.1277,0.11522,3.7695,-0.22103,-0.12379,3.7868,-0.21945,-0.048882,3.5719,-0.2104,-0.056182,3.5767,0.019314,0.11422,3.5696,0.062228,-0.088633,3.4823,-0.13241,-0.086721,3.5689,-0.21032,-0.058336,3.5843,-0.10015,-0.32605,3.6342,0.060238,-0.77833,3.5332,0.046254,-1.0931,3.6446,0.054121,-1.1245,3.5638,-0.029188,-0.3089,3.599,0.020966,-0.70786,3.5452,0.11343,-1.0539,3.5182,0.082021,-1.1123,3.5304,-0.058923,0.15113,3.6891,-0.21275,-0.053602,3.5606,-0.24183,-0.048704,3.559,-0.269,-0.054142,3.5972,-0.2304,-0.073159,3.5655
